DISOUT_ID,kol_mojavez1400,masahat_zamin1400,masahat_zirbana1400,vehede_maskoni1400,ave_price98,khanevar95,population95,population_man95,population_woman95,kambod_mazad85,masahat_sabz85,masahatsabz_of_mantaghe85,sarane_fazayesabz85,tarakom_nafar_darhektar,masahat_mantaghe
1,279,151324,817578,2256,436364,166881,487508,238693,248815,-760521,3799479,11,10,110,34610
2,372,148528,714912,3142,409758,239742,701303,343033,358270,-517704,6790296,14,11,123,49670
3,237,120275,667741,1943,448995,119052,330649,158401,172248,366071,3858071,13,13,99,29440
4,558,203407,901515,4738,278281,304169,919001,457460,461541,-2110124,7729876,11,9,113,72600
5,260,117035,602203,2462,222945,292257,858346,421444,436902,-571551,7576449,13,11,115,59140
6,145,52667,248515,1072,342570,85092,251384,123161,128223,-87987,2756013,13,12,110,21490
7,277,92107,443513,2521,222704,115930,312194,152024,160170,-2910483,809517,5,3,201,15410
8,329,82496,353853,2270,200059,148582,425197,208379,216818,-3078663,1469337,11,4,286,13260
9,153,35733,146379,1194,116649,57688,174239,88163,86076,-1258253,733747,4,4,85,19590
10,203,38621,150310,1234,115603,117405,327115,162162,164953,-3243905,548095,7,2,391.5,8070
11,205,48173,203449,1294,117712,107627,307940,154477,153463,-1898684,1401316,12,5,231,11890
12,155,46581,169481,902,99235,79479,241831,122661,119170,-1690761,1285239,9,5,182,13590
13,217,53398,225708,1388,162733,84161,248952,123289,125663,-1725798,1226202,9,5,177,13900
14,309,65907,266917,1890,137392,171121,515795,258577,257218,-3696239,2099761,14,4,331,14590
15,618,140230,556560,4198,84207,204306,641279,325985,315294,-1530440,6185560,22,10,225,28520
16,233,57181,287245,1551,91613,87642,268406,134726,133680,188624,3680624,22,13,177,16480
17,272,69093,306878,2271,78268,88398,273231,137540,135691,-2169723,902277,11,4,309,8290
18,185,97809,279570,1837,66741,130586,419882,213913,205969,3899778,6983778,18,22,83.5,37930
19,123,36392,103466,726,78173,79515,261027,133048,127979,1249556,4225556,37,17,215,11520
20,233,48884,195238,1321,58322,115719,365259,183091,182168,839406,4871406,24,14,165,20320
21,187,151547,321071,1657,121812,60602,186821,94035,92786,-234020,1685980,3,11,31,52070
22,133,133293,715777,2682,136894,55111,176347,89893,86454,464286,1760286,3,16,17.5,61540
