,district,area,year,rooms,value,floor,elevator,parking,warehouse
0, سهروردی ,۱۱۰,۱۳۹۴,۲,۸٬۰۰۰٬۰۰۰٬۰۰۰,۲,"(True,)","(True,)",True
1, مرزداران ,۱۱۲,۱۳۸۲,۲,۶٬۷۵۰٬۰۰۰٬۰۰۰,۲ از ۵,"(True,)","(True,)",True
2, سعادت‌آباد ,۱۶۰,۱۳۸۸,۳,۱۲٬۰۰۰٬۰۰۰٬۰۰۰,۳,"(True,)","(True,)",True
3, دروس ,۳۶۰,۱۳۹۲,۴,۵۲٬۰۰۰٬۰۰۰٬۰۰۰,۳,"(True,)","(True,)",True
4, زعفرانیه ,۲۹۰,۱۳۹۲,۴,۳۰٬۰۰۰٬۰۰۰٬۰۰۰,۴,"(True,)","(True,)",True
5, علی‌آباد,۸۱,۱۳۸۵,۲,۱٬۸۶۳٬۰۰۰٬۰۰۰,۶,"(True,)","(True,)",True
6, استاد معین ,۴۸,۱۳۹۶,۱,۲٬۷۰۰٬۰۰۰٬۰۰۰,۴ از ۴,"(True,)","(True,)",True
7, شهران جنوبی ,۸۵,۱۳۹۶,۲,۵٬۱۰۰٬۰۰۰٬۰۰۰,۴,"(True,)","(True,)",True
8, شهرک غرب ,۹۶,۱۴۰۱,۲,۱۱٬۵۰۰٬۰۰۰٬۰۰۰,۳,"(True,)","(True,)",True
9, شهرک غرب ,۱۴۰,۱۳۸۵,۳,۱۳٬۲۰۰٬۰۰۰٬۰۰۰,۱,"(True,)","(True,)",True
10, الهیه ,۱۷۰,۱۳۹۰,۳,۱۴٬۵۰۰٬۰۰۰٬۰۰۰,۵ از ۶,"(True,)","(True,)",True
11, چیتگر,۱۰۱,۱۴۰۱,۲,۴٬۵۰۰٬۰۰۰٬۰۰۰,۱۰ از ۲۵,"(True,)","(True,)",True
12, میدان ولیعصر ,۱۴۴,۱۴۰۰,۳,۵٬۱۱۲٬۰۰۰٬۰۰۰,۶ از ۶,"(True,)","(True,)",True
13, ظفر ,۱۱۰,۱۴۰۰,۲,۱۰٬۷۰۰٬۰۰۰٬۰۰۰,۶ از ۶,"(True,)","(True,)",True
