,district,area,year,rooms,value,floor,elevator,parking,warehouse
0, نیاوران ,70,1401,1,11500000000,4,True,True,True
1, نیاوران ,200,1401,3,34000000000,3,True,True,True
2, کوهک ,138,1398,3,8419000000,10,True,True,True
3, جیحون ,80,1395,2,3300000000,2,True,True,True
4, ظفر ,120,1401,2,12240000000,6,True,True,True
5, چیتگر ,109,1401,2,4150000000,2,True,True,True
6, هروی,115,1380,3,7250000000,1,True,True,True
7, ظفر ,106,1400,2,11660000000,9,True,True,True
8, جیحون ,75,1396,2,2750000000,2,True,True,False
9, یوسف‌آباد ,145,1401,2,14400000000,5,True,True,True
10, سازمان برنامه ,80,1385,2,4920000000,4,True,True,True
11, ظفر ,95,1375,2,6300000000,1,True,True,True
12, تهرانپارس غربی ,67,1384,2,3650000000,1,True,True,True
13, سهروردی ,75,1401,2,6750000000,1,True,True,True
14, آجودانیه,284,1383,3,32000000000,2,True,True,True
15, یوسف‌آباد ,114,1384,2,7700000000,1,True,True,True
16, صادقیه ,83,1383,2,3400000000,3,True,True,False
17, شهر زیبا,126,1394,3,8200000000,5,True,True,True
18, توحید ,100,1401,2,6300000000,2,True,True,True
19, پونک,113,1399,2,10150000000,6,True,True,True
20, شهر زیبا ,110,1391,2,6500000000,5,True,True,True
21, اختیاریه ,135,1401,3,13500000000,1,True,True,True
22, جنت‌آباد مرکزی ,115,1390,2,6400000000,2,True,True,True
23, شهرک غرب ,72,1393,2,7100000000,1,True,True,True
24, نیاوران ,220,1400,3,45000000000,10,True,True,True
25, چیتگر ,200,1400,3,13200000000,10,True,True,True
26, کوی فردوس ,122,1400,2,8500000000,1,True,True,True
27, هروی ,157,1391,3,11800000000,13,True,True,True
28, دروس ,140,1391,3,13000000000,3,True,True,True
29, دروس ,200,1401,3,26000000000,4,True,True,True
30, دروس ,155,1400,3,23500000000,3,True,True,True
31, هروی ,75,1386,2,4800000000,2,True,True,True
32, اختیاریه ,64,1395,1,6800000000,5,True,True,True
33, درکه ,139,1398,2,16800000000,10,True,True,True
34, افسریه ,73,1389,2,2250000000,2,True,True,False
35, کوهک ,190,1401,3,9500000000,18,True,True,True
36, دهکده المپیک ,120,1395,2,7000000000,1,True,True,True
37, پونک ,100,1401,2,8500000000,6,True,True,True
38, شهر زیبا ,55,1398,1,4050000000,2,True,True,True
39, استاد معین ,58,1400,1,2850000000,1,True,True,True
40, هروی ,100,1401,2,8000000000,4,True,True,True
41, باغ فیض ,114,1398,2,7400000000,1,True,True,True
42, زنجان ,100,1401,2,5150000000,2,True,True,True
43, آذربایجان ,40,1382,1,1780000000,3,True,True,False
44, آذربایجان ,60,1395,1,2850000000,2,True,True,True
45, خلیج فارس ,82,1390,2,2720000000,2,True,True,True
46, جنت‌آباد جنوبی ,105,1396,2,6400000000,2,True,True,True
47, هروی ,103,1401,2,8240000000,5,True,True,True
48, تهران‌ویلا,122,1399,3,9500000000,2,True,True,True
49, آهنگ,55,1395,1,1660000000,3,True,True,False
50, شهر زیبا ,54,1384,1,3600000000,3,True,True,True
51, اوقاف ,105,1401,2,5360000000,3,True,True,True
52, نیرو هوایی ,97,1384,2,5000000000,1,True,True,True
53, فرمانیه ,130,1395,2,15350000000,6,True,True,True
54, دروس ,175,1398,3,33250000000,4,True,True,True
55, سهروردی ,124,1401,2,10000000000,2,True,True,True
56, دریاچه شهدای خلیج فارس ,85,1401,2,2610000000,21,True,True,True
57, صادقیه ,85,1396,2,6900000000,1,True,True,True
58, آهنگ ,131,1401,3,7500000000,3,True,True,True
59, شادمهر ,110,1401,2,7000000000,2,True,True,True
60, جنت‌آباد مرکزی ,65,1382,2,3650000000,2,True,True,True
61, شهران جنوبی ,62,1401,1,4100000000,1,True,True,True
62, کوی فردوس ,75,1388,2,4900000000,2,True,True,True
63, باغ فیض ,55,1401,1,4950000000,1,True,True,True
64, جنت‌آباد جنوبی ,105,1401,2,8290000000,4,True,True,True
65, باغ فیض ,50,1385,1,3300000000,3,True,True,True
66, پونک ,78,1382,2,3830000000,2,True,True,True
67, کوی فردوس ,65,1390,2,4500000000,4,True,True,True
68, جنت‌آباد جنوبی ,71,1382,2,4050000000,2,True,True,True
69, پونک ,126,1385,3,8505000000,1,True,True,True
70, کوی فردوس ,81,1392,2,4840000000,1,True,True,True
71, باغ فیض ,87,1385,2,4600000000,1,True,True,True
72, سازمان برنامه ,130,1388,3,8500000000,4,True,True,True
73, مرزداران ,95,1386,2,6350000000,5,True,True,True
74, پاسداران ,268,1397,4,34800000000,7,True,True,True
75, شهرک غرب ,150,1401,3,11000000000,10,True,True,True
76, بازار ,111,1401,2,6300000000,21,True,True,True
77, دریان‌نو,100,1401,2,8400000000,1,True,True,True
78, نیاوران,188,1372,3,16500000000,10,True,True,True
79, شهرآرا ,95,1396,2,6500000000,2,True,True,True
80, حشمتیه ,100,1401,2,5900000000,3,True,True,True
81, سهروردی,198,1400,3,25740000000,5,True,True,True
82, استاد معین,62,1388,1,2870000000,1,True,True,True
83, تجریش ,145,1385,3,14000000000,2,True,True,True
84, استخر ,100,1401,2,5800000000,3,True,True,True
85, میرداماد ,165,1401,3,15600000000,1,True,True,True
86, نیاوران ,130,1392,3,10000000000,2,True,True,True
87, فرمانیه ,250,1395,3,28000000000,5,True,True,True
88, مبارک‌آباد بهشتی ,70,1400,2,1155000000,5,True,True,True
89, جنت‌آباد جنوبی ,56,1385,1,3900000000,1,True,True,True
90, یوسف‌آباد ,130,1399,3,13150000000,4,True,True,True
91, قیطریه ,112,1401,2,8960000000,6,True,True,True
92, هروی,75,1401,2,6400000000,2,True,True,True
93, پونک ,100,1401,2,7700000000,2,True,True,True
94, جنت‌آباد جنوبی ,85,1395,2,5850000000,4,True,True,True
95, دروس ,295,1397,4,40000000000,4,True,True,True
96, گرگان ,47,1392,1,1850000000,3,True,True,True
97, جنت‌آباد مرکزی ,85,1392,2,6200000000,3,True,True,True
98, جنت‌آباد شمالی ,115,1399,3,7700000000,1,True,True,True
99, دریان‌نو ,96,1395,2,6550000000,4,True,True,True
100, آجودانیه ,120,1396,2,14000000000,4,True,True,True
101, شهرک راه‌آهن ,198,1401,3,15000000000,5,True,True,True
102, دریاچه شهدای خلیج فارس ,155,1401,3,11000000000,11,True,True,True
103, مبارک‌آباد بهشتی ,92,1401,3,1700000000,2,True,True,True
104, چیتگر ,114,1401,2,4950000000,15,True,True,True
105, جردن ,1000,1401,4,120000000000,5,True,True,True
106, استخر ,72,1398,2,1238400000,4,True,True,False
